Regras de tamanho 2, ou seja 1 elemento no antecedente e 1 no consequente da regra, com minsup=0.0 e minconf=0.01

C:\Users\Lucas\AppData\Local\Programs\Python\Python36-32\python.exe C:/Users/Lucas/PycharmProjects/machine_learning/machineLearning.py
{SP_Width: 3.0} -> {PT_Legth: 5.1} (conf: 0.038, supp: 0.007, lift: 0.721, conv: 0.985)
{PT_Legth: 5.1} -> {SP_Width: 3.0} (conf: 0.125, supp: 0.007, lift: 0.721, conv: 0.945)
{SP_Width: 3.0} -> {SP_Length: 5.7} (conf: 0.038, supp: 0.007, lift: 0.721, conv: 0.985)
{SP_Length: 5.7} -> {SP_Width: 3.0} (conf: 0.125, supp: 0.007, lift: 0.721, conv: 0.945)
{SP_Length: 5.7} -> {Class: Iris-setosa} (conf: 0.250, supp: 0.013, lift: 0.750, conv: 0.889)
{Class: Iris-setosa} -> {SP_Length: 5.7} (conf: 0.040, supp: 0.013, lift: 0.750, conv: 0.986)
{SP_Width: 2.3} -> {Class: Iris-setosa} (conf: 0.250, supp: 0.007, lift: 0.750, conv: 0.889)
{Class: Iris-setosa} -> {SP_Width: 2.3} (conf: 0.020, supp: 0.007, lift: 0.750, conv: 0.993)
{PT_Legth: 5.0} -> {Class: Iris-versicolor} (conf: 0.250, supp: 0.007, lift: 0.750, conv: 0.889)
{Class: Iris-versicolor} -> {PT_Legth: 5.0} (conf: 0.020, supp: 0.007, lift: 0.750, conv: 0.993)
{SP_Length: 5.2} -> {Class: Iris-versicolor} (conf: 0.250, supp: 0.007, lift: 0.750, conv: 0.889)
{Class: Iris-versicolor} -> {SP_Length: 5.2} (conf: 0.020, supp: 0.007, lift: 0.750, conv: 0.993)
{SP_Length: 6.9} -> {Class: Iris-versicolor} (conf: 0.250, supp: 0.007, lift: 0.750, conv: 0.889)
{Class: Iris-versicolor} -> {SP_Length: 6.9} (conf: 0.020, supp: 0.007, lift: 0.750, conv: 0.993)
{SP_Width: 3.1} -> {Class: Iris-versicolor} (conf: 0.250, supp: 0.020, lift: 0.750, conv: 0.889)
{Class: Iris-versicolor} -> {SP_Width: 3.1} (conf: 0.060, supp: 0.020, lift: 0.750, conv: 0.979)
{PT_Width: 1.6} -> {Class: Iris-virginica} (conf: 0.250, supp: 0.007, lift: 0.750, conv: 0.889)
{Class: Iris-virginica} -> {PT_Width: 1.6} (conf: 0.020, supp: 0.007, lift: 0.750, conv: 0.993)
{SP_Length: 5.8} -> {PT_Width: 0.2} (conf: 0.143, supp: 0.007, lift: 0.765, conv: 0.949)
{PT_Width: 0.2} -> {SP_Length: 5.8} (conf: 0.036, supp: 0.007, lift: 0.765, conv: 0.989)
{SP_Width: 3.0} -> {PT_Legth: 1.3} (conf: 0.038, supp: 0.007, lift: 0.824, conv: 0.991)
{PT_Legth: 1.3} -> {SP_Width: 3.0} (conf: 0.143, supp: 0.007, lift: 0.824, conv: 0.964)
{SP_Width: 3.0} -> {PT_Legth: 1.6} (conf: 0.038, supp: 0.007, lift: 0.824, conv: 0.991)
{PT_Legth: 1.6} -> {SP_Width: 3.0} (conf: 0.143, supp: 0.007, lift: 0.824, conv: 0.964)
{SP_Width: 3.0} -> {PT_Width: 0.3} (conf: 0.038, supp: 0.007, lift: 0.824, conv: 0.991)
{PT_Width: 0.3} -> {SP_Width: 3.0} (conf: 0.143, supp: 0.007, lift: 0.824, conv: 0.964)
{SP_Length: 5.5} -> {Class: Iris-setosa} (conf: 0.286, supp: 0.013, lift: 0.857, conv: 0.933)
{Class: Iris-setosa} -> {SP_Length: 5.5} (conf: 0.040, supp: 0.013, lift: 0.857, conv: 0.993)
{SP_Length: 6.4} -> {Class: Iris-versicolor} (conf: 0.286, supp: 0.013, lift: 0.857, conv: 0.933)
{Class: Iris-versicolor} -> {SP_Length: 6.4} (conf: 0.040, supp: 0.013, lift: 0.857, conv: 0.993)
{SP_Length: 4.9} -> {PT_Width: 0.2} (conf: 0.167, supp: 0.007, lift: 0.893, conv: 0.976)
{PT_Width: 0.2} -> {SP_Length: 4.9} (conf: 0.036, supp: 0.007, lift: 0.893, conv: 0.996)
{SP_Width: 3.1} -> {PT_Width: 0.2} (conf: 0.167, supp: 0.013, lift: 0.893, conv: 0.976)
{PT_Width: 0.2} -> {SP_Width: 3.1} (conf: 0.071, supp: 0.013, lift: 0.893, conv: 0.991)
{SP_Width: 3.3} -> {PT_Width: 0.2} (conf: 0.167, supp: 0.007, lift: 0.893, conv: 0.976)
{PT_Width: 0.2} -> {SP_Width: 3.3} (conf: 0.036, supp: 0.007, lift: 0.893, conv: 0.996)
{SP_Width: 3.8} -> {PT_Width: 0.2} (conf: 0.167, supp: 0.007, lift: 0.893, conv: 0.976)
{PT_Width: 0.2} -> {SP_Width: 3.8} (conf: 0.036, supp: 0.007, lift: 0.893, conv: 0.996)
{SP_Width: 2.8} -> {PT_Width: 1.8} (conf: 0.071, supp: 0.007, lift: 0.893, conv: 0.991)
{PT_Width: 1.8} -> {SP_Width: 2.8} (conf: 0.083, supp: 0.007, lift: 0.893, conv: 0.989)
{SP_Width: 3.0} -> {Class: Iris-versicolor} (conf: 0.308, supp: 0.053, lift: 0.923, conv: 0.963)
{Class: Iris-versicolor} -> {SP_Width: 3.0} (conf: 0.160, supp: 0.053, lift: 0.923, conv: 0.984)
{SP_Width: 3.2} -> {PT_Legth: 1.4} (conf: 0.077, supp: 0.007, lift: 0.962, conv: 0.997)
{PT_Legth: 1.4} -> {SP_Width: 3.2} (conf: 0.083, supp: 0.007, lift: 0.962, conv: 0.996)
{SP_Width: 3.2} -> {PT_Width: 1.5} (conf: 0.077, supp: 0.007, lift: 0.962, conv: 0.997)
{PT_Width: 1.5} -> {SP_Width: 3.2} (conf: 0.083, supp: 0.007, lift: 0.962, conv: 0.996)
{SP_Width: 3.0} -> {PT_Width: 2.0} (conf: 0.038, supp: 0.007, lift: 0.962, conv: 0.998)
{PT_Width: 2.0} -> {SP_Width: 3.0} (conf: 0.167, supp: 0.007, lift: 0.962, conv: 0.992)
{SP_Width: 3.0} -> {SP_Length: 4.9} (conf: 0.038, supp: 0.007, lift: 0.962, conv: 0.998)
